cell_id,container_id,r2_orig,r2_m0_refit,r2_m1_075,r2_m1_100,r2_m1_150,best_sigma,best_delta,passes_screen
662298985,653125128,0.3914301263482036,0.3914301263482036,0.36639047385246115,0.30927090845521277,0.30927090845521277,0.75,-0.02503965249574247,False
662284750,650389885,0.3910465163702625,0.39104651630815446,0.3716330308332392,0.28930593383854397,0.28930593383854397,0.75,-0.019413485474915282,False
674570145,666589599,0.3908374798983429,0.3908374798944103,0.37138541802798763,0.33237277484308037,0.33237277484308037,0.75,-0.019452061866422676,False
673450825,661732156,0.390837094992572,0.39083709499277663,0.3208207151300353,0.3208207151300353,0.3208207151300353,0.75,-0.07001637986274134,False
662301762,653125128,0.3908302050914877,0.3908302050916008,0.3686305072452327,0.2407685631023374,0.2407685631023374,0.75,-0.022199697846368105,False
517407131,511507650,0.390763499205906,0.3704022072958365,0.36989181198351384,0.223718303389703,0.223718303389703,0.75,-0.0005103953123226646,False
662287988,652842570,0.3907393286296331,0.3907393286313312,0.32088611436989334,0.20079194113981436,0.20079194113981436,0.75,-0.06985321426143787,False
701729980,688678764,0.3895738380150595,0.38957383801507584,0.3804149301870693,0.24606846479396516,0.24606846479396516,0.75,-0.009158907828006546,False
701733631,688678764,0.3892869314091794,0.3892869314091375,0.3525271702566841,0.2476340109052353,0.2476340109052353,0.75,-0.036759761152453385,False
662283030,652842570,0.38874020884531,0.3887402088452844,0.31559537149168604,0.18509368510095348,0.18509368510095348,0.75,-0.07314483735359834,False
589162125,511510718,0.3883749104045569,0.3883749104041826,0.3371618941630886,0.29722319166177047,0.29722319166177047,0.75,-0.05121301624109398,False
662281854,650389885,0.3879865696632535,0.387986569668876,0.3601852406508247,2.390043476097059e-05,2.390043476097059e-05,0.75,-0.027801329018051324,False
696518870,682734790,0.3873553121833695,0.38735531218347363,0.34643206453359765,0.34643206453359765,0.34643206453359765,0.75,-0.04092324764987598,False
701730710,688678764,0.3869656393790135,0.3794310203889585,0.36025473224667015,0.22950347951903605,0.22950347951903605,0.75,-0.019176288142288334,False
673450980,661732156,0.3866346848393033,0.3866346850533988,0.3639574347503921,0.32921014325162645,0.32921014325162645,0.75,-0.022677250303006713,False
673449903,661732156,0.3866039824945549,0.386603982494533,0.3263957083271395,0.3263957083271395,0.3263957083271395,0.75,-0.060208274167393494,False
662299509,653125128,0.3858137558933445,0.3858137558945318,0.31159768885888606,0.3115976681426844,0.3115976681426844,0.75,-0.07421606703564576,False
729435220,701412138,0.3849934492213326,0.34989756606335143,0.3551529038876995,0.35515279737685634,0.35515279737685634,0.75,0.005255337824348061,False
674569418,666589599,0.3847596646315311,0.38475966463074285,0.32146971660069035,0.27987664144614455,0.27987664144614455,0.75,-0.0632899480300525,False
662287807,652842570,0.3847472655166569,0.37020720988973,0.32431515443095393,0.10464758610450475,0.10464758610450475,0.75,-0.04589205545877606,False
517472716,511510736,0.3842658822065111,0.3842658822111894,0.3348205373151413,0.2304060885371939,0.2304060885371939,0.75,-0.04944534489604813,False
673450926,661732156,0.3841453913431292,0.36637512782466286,0.3561323575191512,0.16475398440542788,0.16475398440542788,0.75,-0.010242770305511684,False
696520854,680156909,0.3835841630279383,0.3835841630282507,0.3297634934128406,0.1851038978581887,0.1851038978581887,0.75,-0.0538206696154101,False
517407808,511507650,0.3833187743381521,0.3695186842625122,0.34687943685845757,0.2830508607468888,0.2830508607468888,0.75,-0.022639247404054652,False
701730830,688678764,0.3831798816271374,0.3831798816281917,0.3402752321207466,0.2676286639336706,0.2676286639336706,0.75,-0.0429046495074451,False
517424515,511510718,0.3831084268928197,0.3831084268912459,0.3507729570919865,0.24466310053944373,0.24466310053944373,0.75,-0.032335469799259386,False
662280431,652842570,0.3826196128492015,0.382619612849057,0.3367976941182935,0.16357560903694246,0.16357560903694246,0.75,-0.04582191873076347,False
673033092,661437138,0.3808722355086466,0.3749158035643111,0.37068353290227396,0.3207063925734631,0.3207063925734631,0.75,-0.00423227066203713,False
729435065,701412138,0.3790391985020457,0.3546739438581451,0.36182239088659063,0.2201078382717765,0.2201078382717765,0.75,0.007148447028445526,False
696519164,682734790,0.3761351694194758,0.36131513639322366,0.3391408035141118,0.20035424875872188,0.20035424875872188,0.75,-0.022174332879111858,False
662286645,652842570,0.3757337948367999,0.37573379479607016,0.3036389887713099,0.03600682406214184,0.03600682406214184,0.75,-0.07209480602476026,False
662279041,650389885,0.3753390521606832,0.3753390521639165,0.35748459226837725,0.29228566421358826,0.29228566421358826,0.75,-0.017854459895539243,False
729433694,701412138,0.3752374072523229,0.36343814655451456,0.338088825266878,0.2577842438096549,0.2577842438096549,0.75,-0.02534932128763656,False
